Date Submitted,Workout Date,Activity Type,Calories Burned (kCal),Distance (km),Workout Time (seconds),Avg Pace (min/km),Max Pace (min/km),Avg Speed (km/h),Max Speed (km/h),Avg Heart Rate,Steps,Notes,Source,Link
"Nov. 18, 2020","March 24, 2020",Run,1284,15.8373933696,5149,5.418611558498369,1.9274872246082875,11.07294655104,31.1285753856,,14100,b'',Endomondo ,http://www.mapmyfitness.com/workout/4978442620
"Nov. 18, 2020","March 18, 2020",Indoor Sport / Other Activity,92,0,1058,0,0,0,0,,,b'',Endomondo ,http://www.mapmyfitness.com/workout/4978443028
"Nov. 18, 2020","March 18, 2020",Run,1283,15.7467873024,5233,5.538697755110157,1.662130656963334,10.83288070656,36.098229657599994,,14291,b'',Endomondo ,http://www.mapmyfitness.com/workout/4978442914
"Nov. 18, 2020","March 17, 2020",Class Workout,483,0,3508,0,0,0,0,,,b'',Endomondo ,http://www.mapmyfitness.com/workout/4978443133
"Nov. 18, 2020","March 16, 2020",Indoor Sport / Other Activity,86,0,984,0,0,0,0,,,b'',Endomondo ,http://www.mapmyfitness.com/workout/4978443361
"Nov. 18, 2020","March 16, 2020",Run,1089,13.57130827008,4284,5.261100174978128,2.1132337151037937,11.4044553216,28.392529651199997,,11776,b'',Endomondo ,http://www.mapmyfitness.com/workout/4978443256
"Nov. 18, 2020","March 14, 2020",Class Workout,276,0,2004,0,0,0,0,,,b'',Endomondo ,http://www.mapmyfitness.com/workout/4978443451
"Nov. 18, 2020","March 13, 2020",Indoor Sport / Other Activity,84,0,960,0,0,0,0,,,b'',Endomondo ,http://www.mapmyfitness.com/workout/4978443778
"Nov. 18, 2020","March 13, 2020",Run,22,0,731,0,0,0,0,,,b'',Endomondo ,http://www.mapmyfitness.com/workout/4978443658
"Nov. 18, 2020","March 13, 2020",Run,748,8.899994188800001,3355,6.282746261830908,1.8288507615525331,9.5499277632,32.807443046399996,,9027,b'',Endomondo ,http://www.mapmyfitness.com/workout/4978443568
"Nov. 18, 2020","March 1, 2020",Video Workout,200,0,3785,0,0,0,0,,,b'',Endomondo ,http://www.mapmyfitness.com/workout/4978443904
"Nov. 18, 2020","Feb. 29, 2020",Class Workout,609,0,4423,0,0,0,0,,,b'',Endomondo ,http://www.mapmyfitness.com/workout/4978444000
"Nov. 18, 2020","Feb. 27, 2020",Class Workout,402,0,2918,0,0,0,0,,,b'',Endomondo ,http://www.mapmyfitness.com/workout/4978444225
"Nov. 18, 2020","Feb. 26, 2020",Indoor Sport / Other Activity,88,0,1015,0,0,0,0,,,b'',Endomondo ,http://www.mapmyfitness.com/workout/4978444531
"Nov. 18, 2020","Feb. 26, 2020",Run,1063,13.035638119680002,4345,5.555282152230971,1.7343029209417005,10.80053289216,34.596067968,,11861,b'',Endomondo ,http://www.mapmyfitness.com/workout/4978444426
"Nov. 18, 2020","Feb. 23, 2020",Video Workout,207,0,3920,0,0,0,0,,,b'',Endomondo ,http://www.mapmyfitness.com/workout/4978444762
"Nov. 18, 2020","Feb. 22, 2020",Class Workout,462,0,3352,0,0,0,0,,,b'',Endomondo ,http://www.mapmyfitness.com/workout/4978444942
"Nov. 18, 2020","Feb. 21, 2020",Indoor Sport / Other Activity,0,0,0,0,0,0,0,,,b'',Endomondo ,http://www.mapmyfitness.com/workout/4978445692
"Nov. 18, 2020","Feb. 21, 2020",Indoor Sport / Other Activity,79,0,906,0,0,0,0,,,b'',Endomondo ,http://www.mapmyfitness.com/workout/4978445590
"Nov. 18, 2020","Feb. 21, 2020",Run,1072,13.174009516800002,4347,5.4994643780322905,1.8011251789549032,10.910161405439998,33.3124551936,,11882,b'',Endomondo ,http://www.mapmyfitness.com/workout/4978445125
"Nov. 18, 2020","Feb. 19, 2020",Class Workout,738,0,5353,0,0,0,0,,,b'',Endomondo ,http://www.mapmyfitness.com/workout/4978445785
"Nov. 18, 2020","Feb. 16, 2020",Indoor Sport / Other Activity,105,0,1200,0,0,0,0,,,b'',Endomondo ,http://www.mapmyfitness.com/workout/4978446082
"Nov. 18, 2020","Feb. 16, 2020",Run,104,1.3014861488640002,405,5.186374075399666,3.0851638928656646,11.568769344,19.4479566336,,1115,b'',Endomondo ,http://www.mapmyfitness.com/workout/4978445983
"Nov. 18, 2020","Feb. 16, 2020",Run,539,6.688578504960001,2126,5.297580877674381,2.75655173785095,11.3259193344,21.7663776,,5839,b'',Endomondo ,http://www.mapmyfitness.com/workout/4978445911
"Nov. 18, 2020","Feb. 11, 2020",Class Workout,326,0,2366,0,0,0,0,,,b'',Endomondo ,http://www.mapmyfitness.com/workout/4978446211
